selection_rank,bgsto_rank,date,symbol,selected,buy_probability,bgsto_stock_score,return_21d,return_63d,volatility_60d,sharpe_252d,rsi_14,bgsto_fitness
1,1,2025-12-01,IDEA,1,0.9515648599412851,0.8478121800811385,0.1374571392740362,0.5300463259438508,0.5799343909298862,0.773762408378356,52.118878752455394,0.7462994095437678
2,2,2025-12-01,HINDCOPPER,1,0.9515648599412851,0.846585124758885,-0.0258398000846875,0.4834698412354765,0.5044851538718181,0.6719256983321283,55.26675916934332,0.7462994095437678
3,3,2025-12-01,MRPL,1,0.9515648599412851,0.8114313546102739,-0.003813429824199,0.3273235292277412,0.4013679925054178,0.3320890948689632,48.351523341441386,0.7462994095437678
4,4,2025-12-01,HONASA,1,0.9515648599412851,0.7770470424088295,0.0296442378097625,-0.0218468782462035,0.2525727760495437,0.7844742228526839,49.46427653725874,0.7462994095437678
5,5,2025-12-01,CGCL,1,0.9515648599412851,0.756099935056373,-0.0797097756402446,0.0275822916508603,0.2217304790464354,-0.0043255944226557,43.03284175548212,0.7462994095437678
6,6,2025-12-01,CREDITACC,1,0.9515648599412851,0.7514665591741407,-0.0869565217391304,-0.0399314404165824,0.3800627375834597,0.892695530683795,46.217534308814976,0.7462994095437678
7,7,2025-12-01,GVT&D,1,0.8645746734539576,0.6866681368628504,-0.0856182169587386,0.007952008437148,0.3584194479222142,1.2371327412901527,38.64808318915138,0.7462994095437678
8,8,2025-12-01,HBLENGINE,1,0.8645746734539576,0.6621865671130415,-0.1320369212593212,0.0796322006250176,0.5129589241673236,1.0296737636184996,39.57326685402643,0.7462994095437678
9,9,2025-12-01,BHARATFORG,1,0.7836069963883289,0.6453246985610936,0.0879138540363029,0.2948405797743549,0.2686359224675889,0.4356357189036877,67.98106521315854,0.7462994095437678
10,10,2025-12-01,360ONE,1,0.7836069963883289,0.6186795505559228,0.0622543749860864,0.1740977483093244,0.2514458180817724,0.4407948259720085,68.18830019923408,0.7462994095437678
